0001,0001,1000,1,0000005
0002,0002,1001,2,0000010
0003,0010,1002,3,0000015
0004,0011,1003,4,0000020
0005,0012,1004,5,0000025
0006,0014,1004,6,0000030
0007,0020,1003,7,0000035
0008,0021,1002,1,0000040
0009,0022,1001,1,0000045
0010,0023,1002,1,0000050
0011,0023,1003,1,0000055
0012,0022,1004,2,0000060
0013,0021,1004,3,0000065
0014,0020,1004,4,0000070
0015,0014,1004,5,0000075
0016,0012,1003,6,0000080
0017,0011,1002,7,0000085
0018,0001,1002,1,0001000
0019,0002,1002,1,0001100
0020,0010,1002,1,0001110
0021,0011,1003,1,0001200
0022,0012,1003,1,0001230
0023,0014,1003,1,0001234
0024,0020,1003,1,0001235
0025,0021,1003,1,0001236
0026,0022,1003,1,0001237
0027,0023,1003,1,0001238
0028,0024,1002,1,0001239
0029,0025,1002,1,0001240
